code,MC_seed=1,MC_seed=2
176,-0.0003733072296375971,-0.0004298791459722156
177,-0.00037216643079046477,-0.0004286405316503892
178,-0.00037134234405910075,-0.0004269981772165793
179,-0.0003702015452110505,-0.00042575956289482987
180,-0.0003692249222347297,-0.0004246880958994241
181,-0.000368084123385179,-0.00042344948157659165
182,-0.00036726003665466206,-0.0004218071271441625
183,-0.000366119237804193,-0.0004205685128214066
184,-0.0003640223413931899,-0.0004200108213606404
185,-0.0003628815425413323,-0.00041877220703889426
186,-0.0003620574558124359,-0.0004171298526103837
187,-0.00036091665695966134,-0.00041589123828871395
188,-0.0003599400339814895,-0.00041481977128835743
189,-0.0003587992351272151,-0.00041358115696560425
190,-0.0003579751483991665,-0.00041193880253847647
191,-0.0003568343495439749,-0.00041070018821580027
192,-0.0003562339996928351,-0.0004108089079808642
193,-0.0003550932008375583,-0.00040957029366168714
194,-0.0003542691141111363,-0.0004079279392414535
195,-0.00035312831525494126,-0.0004066893249223515
196,-0.0003521516922756868,-0.0004056178579195874
197,-0.0003510108934179927,-0.0004043792435994036
198,-0.0003501868066924188,-0.00040273688918055113
199,-0.0003490460078338065,-0.00040149827486044346
200,-0.00034694911142740565,-0.00040094058342205667
201,-0.0003458083125674052,-0.0003997019691029612
202,-0.0003449842258434526,-0.0003980596146880319
203,-0.0003438434269825355,-0.00039682100036901287
204,-0.0003428668040014333,-0.00039574953336129885
205,-0.0003417260051390174,-0.00039451091904119735
206,-0.0003409019184159134,-0.0003928685646276524
207,-0.0003397611195525799,-0.00039162995030762697
208,-0.0003378434780237959,-0.0003900150593102058
209,-0.0003367026791598193,-0.00038877644498693756
210,-0.0003358785924387343,-0.0003871340905721351
211,-0.00033473779357384194,-0.0003858954762489417
212,-0.000333761170591485,-0.00038482400923204175
213,-0.00033262037172509287,-0.0003835853949077678
214,-0.0003317962850048571,-0.0003819430404943492
215,-0.00033065548613754787,-0.0003807044261701535
216,-0.00032855858973614865,-0.00038014673475291003
217,-0.0003274177908674519,-0.00037890812042972534
218,-0.0003265937041488385,-0.0003772657660202311
219,-0.0003254529052792254,-0.0003760271516971247
220,-0.00032447628229502273,-0.0003749556846752777
221,-0.0003233354834239107,-0.00037371707035108745
222,-0.0003225113967061476,-0.00037207471594298
223,-0.0003213705978341179,-0.0003708361016188697
224,-0.0003208304626477746,-0.00036940770512777007
225,-0.0003196896637788247,-0.00036816909080300715
226,-0.0003188655770649351,-0.0003665267363970173
227,-0.00031772477819506754,-0.00036528812207233365
228,-0.00031674815521253645,-0.00036421665504366536
229,-0.0003156073563411703,-0.0003629780407179004
230,-0.0003147832696281292,-0.00036133568631329846
231,-0.00031364247075584787,-0.0003600970719876107
232,-0.0003115455743647116,-0.00035953938059250215
233,-0.0003104047754910437,-0.0003583007662678265
234,-0.0003095806887796261,-0.0003566584118671503
235,-0.000308439889905041,-0.0003554197975425534
236,-0.00030746326692066635,-0.0003543483305089429
237,-0.0003063224680445824,-0.0003531097161832656
