,vout (V),,
code,nominal,seed=1,seed=2
391,-9.290353904,-7.991137974,-8.985576152
392,-9.290066957,-7.990838263,-8.985264431
393,-9.28978001,-7.990617118,-8.984988402
394,-9.289493062,-7.990248836,-8.984624592
395,-9.289206115,-7.99002769,-8.984348563
396,-9.288919167,-7.98995438,-8.984258522
397,-9.28863222,-7.989733234,-8.983982493
398,-9.288345273,-7.989364952,-8.983618602
399,-9.288058325,-7.989143806,-8.983342654
400,-9.287771378,-7.988772676,-8.983003862
401,-9.287484431,-7.98855153,-8.982727834
402,-9.287197483,-7.988183248,-8.982364023
403,-9.286910536,-7.987962102,-8.982087994
404,-9.286623589,-7.987888792,-8.981997953
405,-9.286336641,-7.987667646,-8.981721924
406,-9.286049694,-7.987299364,-8.981358033
407,-9.285762747,-7.987078219,-8.981082085
408,-9.285475799,-7.986778508,-8.980770364
409,-9.285188852,-7.986557362,-8.980494336
410,-9.284901905,-7.98618908,-8.980130525
411,-9.284614957,-7.985967934,-8.979854496
412,-9.28432801,-7.985894624,-8.979764455
413,-9.284041063,-7.985673478,-8.979488426
414,-9.283754115,-7.985305196,-8.979124535
415,-9.283467168,-7.985084051,-8.978848587
416,-9.283180221,-7.984782917,-8.978578027
417,-9.282893273,-7.984561771,-8.978301998
418,-9.282606326,-7.984193489,-8.977938188
419,-9.282319379,-7.983972343,-8.977662159
420,-9.282032431,-7.983899034,-8.977572118
421,-9.281745484,-7.983677888,-8.977296089
422,-9.281458537,-7.983309606,-8.976932198
423,-9.281171589,-7.98308846,-8.97665625
424,-9.280884642,-7.982788749,-8.976344529
425,-9.280597695,-7.982567603,-8.9760685
426,-9.280310747,-7.982199321,-8.97570469
427,-9.2800238,-7.981978176,-8.975428661
428,-9.279736853,-7.981904866,-8.97533862
429,-9.279449905,-7.98168372,-8.975062591
430,-9.279162958,-7.981315438,-8.9746987
431,-9.27887601,-7.981094292,-8.974422752
432,-9.278589063,-7.980723161,-8.97408396
433,-9.278302116,-7.980502015,-8.973807931
434,-9.278015168,-7.980133733,-8.973444121
435,-9.277728221,-7.979912588,-8.973168092
436,-9.277441274,-7.979839278,-8.973078051
437,-9.277154326,-7.979618132,-8.972802022
438,-9.276867379,-7.97924985,-8.972438131
439,-9.276580432,-7.979028704,-8.972162183
440,-9.276293484,-7.978728993,-8.971850462
441,-9.276006537,-7.978507848,-8.971574433
442,-9.27571959,-7.978139566,-8.971210623
443,-9.275432642,-7.97791842,-8.970934594
444,-9.275145695,-7.97784511,-8.970844553
445,-9.274858748,-7.977623964,-8.970568524
446,-9.2745718,-7.977255682,-8.970204633
447,-9.274284853,-7.977034536,-8.969928685
448,-9.273997906,-7.976733073,-8.969238176
449,-9.273710958,-7.976511927,-8.968962147
450,-9.273424011,-7.976143645,-8.968598337
451,-9.273137064,-7.975922499,-8.968322308
452,-9.272850116,-7.97584919,-8.968232267
453,-9.272563169,-7.975628044,-8.967956238
454,-9.272276222,-7.975259762,-8.967592347
455,-9.271989274,-7.975038616,-8.967316399
456,-9.271702327,-7.974738905,-8.967004678
457,-9.27141538,-7.974517759,-8.966728649
458,-9.271128432,-7.974149477,-8.966364839
459,-9.270841485,-7.973928332,-8.96608881
460,-9.270554538,-7.973855022,-8.965998769
461,-9.27026759,-7.973633876,-8.96572274
462,-9.269980643,-7.973265594,-8.965358849
463,-9.269693696,-7.973044448,-8.965082901
464,-9.269406748,-7.972673317,-8.964744109
465,-9.269119801,-7.972452171,-8.96446808
466,-9.268832853,-7.97208389,-8.96410427
467,-9.268545906,-7.971862744,-8.963828241
468,-9.268258959,-7.971789434,-8.9637382
469,-9.267972011,-7.971568288,-8.963462171
470,-9.267685064,-7.971200006,-8.96309828
471,-9.267398117,-7.97097886,-8.962822332
472,-9.267111169,-7.970679149,-8.962510611
473,-9.266824222,-7.970458004,-8.962234582
474,-9.266537275,-7.970089722,-8.961870772
475,-9.266250327,-7.969868576,-8.961594743
476,-9.26596338,-7.969795266,-8.961504702
477,-9.265676433,-7.96957412,-8.961228673
478,-9.265389485,-7.969205838,-8.960864782
479,-9.265102538,-7.968984692,-8.960588834
480,-9.264815591,-7.968683559,-8.960318274
481,-9.264528643,-7.968462413,-8.960042245
482,-9.264241696,-7.968094131,-8.959678434
483,-9.263954749,-7.967872985,-8.959402406
484,-9.263667801,-7.967799675,-8.959312365
485,-9.263380854,-7.967578529,-8.959036336
486,-9.263093907,-7.967210247,-8.958672445
487,-9.262806959,-7.966989102,-8.958396496
488,-9.262520012,-7.966689391,-8.958084776
489,-9.262233065,-7.966468245,-8.957808747
490,-9.261946117,-7.966099963,-8.957444937
491,-9.26165917,-7.965878817,-8.957168908
492,-9.261372223,-7.965805507,-8.957078867
493,-9.261085275,-7.965584362,-8.956802838
494,-9.260798328,-7.96521608,-8.956438947
495,-9.260511381,-7.964994934,-8.956162998
496,-9.260224433,-7.964623803,-8.955824207
497,-9.259937486,-7.964402657,-8.955548178
498,-9.259650538,-7.964034375,-8.955184368
499,-9.259363591,-7.963813229,-8.954908339
500,-9.259076644,-7.963739919,-8.954818298
501,-9.258789696,-7.963518774,-8.954542269
502,-9.258502749,-7.963150492,-8.954178378
503,-9.258215802,-7.962929346,-8.95390243
504,-9.257928854,-7.962629635,-8.953590709
505,-9.257641907,-7.962408489,-8.95331468
506,-9.25735496,-7.962040207,-8.95295087
507,-9.257068012,-7.961819061,-8.952674841
508,-9.256781065,-7.961745752,-8.9525848
509,-9.256494118,-7.961524606,-8.952308771
510,-9.25620717,-7.961156324,-8.95194488
511,-9.255920223,-7.960935178,-8.951668932
512,-9.255633276,-7.958318763,-8.952444095
513,-9.255346328,-7.958097617,-8.952168066
514,-9.255059381,-7.957729335,-8.951804255
515,-9.254772434,-7.957508189,-8.951528226
516,-9.254485486,-7.957434879,-8.951438186
517,-9.254198539,-7.957213734,-8.951162157
518,-9.253911592,-7.956845452,-8.950798266
519,-9.253624644,-7.956624306,-8.950522317
520,-9.253337697,-7.956324595,-8.950210597
521,-9.25305075,-7.956103449,-8.949934568
522,-9.252763802,-7.955735167,-8.949570757
523,-9.252476855,-7.955514021,-8.949294729
524,-9.252189908,-7.955440711,-8.949204688
525,-9.25190296,-7.955219566,-8.948928659
526,-9.251616013,-7.954851284,-8.948564768
527,-9.251329066,-7.954630138,-8.948288819
528,-9.251042118,-7.954259007,-8.947950028
529,-9.250755171,-7.954037861,-8.947673999
530,-9.250468223,-7.953669579,-8.947310189
531,-9.250181276,-7.953448433,-8.94703416
532,-9.249894329,-7.953375124,-8.946944119
533,-9.249607381,-7.953153978,-8.94666809
534,-9.249320434,-7.952785696,-8.946304199
