,vout (V),,
code,nominal,seed=1,seed=2
30558,-0.634010487,-0.547097906,-0.600267197
30559,-0.63372354,-0.546876761,-0.599991176
30560,-0.633436592,-0.546575633,-0.599720623
30561,-0.633149645,-0.546354487,-0.599444596
30562,-0.632862697,-0.545986206,-0.599080783
30563,-0.63257575,-0.545765061,-0.598804755
30564,-0.632288802,-0.545691747,-0.598714709
30565,-0.632001855,-0.545470601,-0.598438681
30566,-0.631714907,-0.545102321,-0.598074862
30567,-0.63142796,-0.544881175,-0.597798841
30568,-0.631141012,-0.544581468,-0.597487128
30569,-0.630854065,-0.544360323,-0.5972111
30570,-0.630567117,-0.543992042,-0.596847287
30571,-0.63028017,-0.543770896,-0.59657126
30572,-0.629993222,-0.543697582,-0.596481213
30573,-0.629706275,-0.543476437,-0.596205186
30574,-0.629419327,-0.543108156,-0.595841366
30575,-0.62913238,-0.54288701,-0.595565345
30576,-0.628845432,-0.542515871,-0.595226551
30577,-0.628558485,-0.542294726,-0.594950524
30578,-0.628271537,-0.541926445,-0.59458671
30579,-0.62798459,-0.541705299,-0.594310683
30580,-0.627697642,-0.541631986,-0.594220636
30581,-0.627410695,-0.54141084,-0.593944609
30582,-0.627123747,-0.541042559,-0.59358079
30583,-0.6268368,-0.540821414,-0.593304768
30584,-0.626549852,-0.540521707,-0.592993055
30585,-0.626262905,-0.540300561,-0.592717028
30586,-0.625975958,-0.539932281,-0.592353215
30587,-0.62568901,-0.539711135,-0.592077187
30588,-0.625402063,-0.539637821,-0.591987141
30589,-0.625115115,-0.539416675,-0.591711113
30590,-0.624828168,-0.539048395,-0.591347294
30591,-0.62454122,-0.538827249,-0.591071273
30592,-0.624254273,-0.539556942,-0.59197868
30593,-0.623967325,-0.539335796,-0.591702653
30594,-0.623680378,-0.538967516,-0.59133884
30595,-0.62339343,-0.53874637,-0.591062812
30596,-0.623106483,-0.538673056,-0.590972766
30597,-0.622819535,-0.53845191,-0.590696738
30598,-0.622532588,-0.53808363,-0.590332919
30599,-0.62224564,-0.537862484,-0.590056898
30600,-0.621958693,-0.537562777,-0.589745185
30601,-0.621671745,-0.537341632,-0.589469157
30602,-0.621384798,-0.536973351,-0.589105344
30603,-0.62109785,-0.536752205,-0.588829317
30604,-0.620810903,-0.536678891,-0.58873927
30605,-0.620523955,-0.536457746,-0.588463243
30606,-0.620237008,-0.536089465,-0.588099424
30607,-0.61995006,-0.535868319,-0.587823402
30608,-0.619663113,-0.53549718,-0.587484608
30609,-0.619376165,-0.535276035,-0.587208581
30610,-0.619089218,-0.534907754,-0.586844767
30611,-0.61880227,-0.534686608,-0.58656874
30612,-0.618515323,-0.534613295,-0.586478694
30613,-0.618228375,-0.534392149,-0.586202666
30614,-0.617941428,-0.534023868,-0.585838847
30615,-0.61765448,-0.533802723,-0.585562826
30616,-0.617367533,-0.533503016,-0.585251112
30617,-0.617080585,-0.53328187,-0.584975085
30618,-0.616793638,-0.53291359,-0.584611272
30619,-0.61650669,-0.532692444,-0.584335244
30620,-0.616219743,-0.53261913,-0.584245198
30621,-0.615932795,-0.532397984,-0.583969171
30622,-0.615645848,-0.532029704,-0.583605351
30623,-0.6153589,-0.531808558,-0.58332933
30624,-0.615071953,-0.53150743,-0.583058777
30625,-0.614785005,-0.531286285,-0.58278275
30626,-0.614498058,-0.530918004,-0.582418937
30627,-0.61421111,-0.530696858,-0.582142909
30628,-0.613924163,-0.530623545,-0.582052863
30629,-0.613637215,-0.530402399,-0.581776835
30630,-0.613350268,-0.530034118,-0.581413016
30631,-0.61306332,-0.529812973,-0.581136995
30632,-0.612776373,-0.529513266,-0.580825282
30633,-0.612489425,-0.52929212,-0.580549254
30634,-0.612202478,-0.52892384,-0.580185441
30635,-0.61191553,-0.528702694,-0.579909414
30636,-0.611628583,-0.52862938,-0.579819367
30637,-0.611341635,-0.528408234,-0.57954334
30638,-0.611054688,-0.528039954,-0.579179521
30639,-0.61076774,-0.527818808,-0.578903499
30640,-0.610480793,-0.527447669,-0.578564705
30641,-0.610193845,-0.527226523,-0.578288677
30642,-0.609906898,-0.526858243,-0.577924864
30643,-0.60961995,-0.526637097,-0.577648837
30644,-0.609333003,-0.526563783,-0.57755879
30645,-0.609046055,-0.526342637,-0.577282763
30646,-0.608759108,-0.525974357,-0.576918944
30647,-0.60847216,-0.525753211,-0.576642922
30648,-0.608185213,-0.525453505,-0.576331209
30649,-0.607898265,-0.525232359,-0.576055182
30650,-0.607611318,-0.524864078,-0.575691369
30651,-0.60732437,-0.524642933,-0.575415341
30652,-0.607037423,-0.524569619,-0.575325295
30653,-0.606750475,-0.524348473,-0.575049267
30654,-0.606463528,-0.523980192,-0.574685448
30655,-0.60617658,-0.523759047,-0.574409427
30656,-0.605889633,-0.523457574,-0.573718911
30657,-0.605602685,-0.523236428,-0.573442884
30658,-0.605315738,-0.522868147,-0.57307907
30659,-0.60502879,-0.522647002,-0.572803043
30660,-0.604741843,-0.522573688,-0.572712997
30661,-0.604454896,-0.522352542,-0.572436969
30662,-0.604167948,-0.521984262,-0.57207315
30663,-0.603881001,-0.521763116,-0.571797129
30664,-0.603594053,-0.521463409,-0.571485415
30665,-0.603307106,-0.521242263,-0.571209388
30666,-0.603020158,-0.520873983,-0.570845575
30667,-0.602733211,-0.520652837,-0.570569547
30668,-0.602446263,-0.520579523,-0.570479501
30669,-0.602159316,-0.520358378,-0.570203474
30670,-0.601872368,-0.519990097,-0.569839655
30671,-0.601585421,-0.519768951,-0.569563633
30672,-0.601298473,-0.519397812,-0.569224839
30673,-0.601011526,-0.519176667,-0.568948811
30674,-0.600724578,-0.518808386,-0.568584998
30675,-0.600437631,-0.51858724,-0.568308971
30676,-0.600150683,-0.518513927,-0.568218924
30677,-0.599863736,-0.518292781,-0.567942897
30678,-0.599576788,-0.5179245,-0.567579078
30679,-0.599289841,-0.517703355,-0.567303056
30680,-0.599002893,-0.517403648,-0.566991343
30681,-0.598715946,-0.517182502,-0.566715316
30682,-0.598428998,-0.516814222,-0.566351503
30683,-0.598142051,-0.516593076,-0.566075475
30684,-0.597855103,-0.516519762,-0.565985429
30685,-0.597568156,-0.516298616,-0.565709401
30686,-0.597281208,-0.515930336,-0.565345582
30687,-0.596994261,-0.51570919,-0.565069561
30688,-0.596707313,-0.515408062,-0.564799008
30689,-0.596420366,-0.515186917,-0.564522981
30690,-0.596133418,-0.514818636,-0.564159167
30691,-0.595846471,-0.51459749,-0.56388314
30692,-0.595559523,-0.514524176,-0.563793093
30693,-0.595272576,-0.514303031,-0.563517066
30694,-0.594985628,-0.51393475,-0.563153247
30695,-0.594698681,-0.513713604,-0.562877225
30696,-0.594411733,-0.513413898,-0.562565512
30697,-0.594124786,-0.513192752,-0.562289485
30698,-0.593837838,-0.512824472,-0.561925672
30699,-0.593550891,-0.512603326,-0.561649644
30700,-0.593263943,-0.512530012,-0.561559598
30701,-0.592976996,-0.512308866,-0.56128357
30702,-0.592690048,-0.511940586,-0.560919751
30703,-0.592403101,-0.51171944,-0.56064373
30704,-0.592116153,-0.511348301,-0.560304936
30705,-0.591829206,-0.511127155,-0.560028908
30706,-0.591542258,-0.510758875,-0.559665095
30707,-0.591255311,-0.510537729,-0.559389068
30708,-0.590968363,-0.510464415,-0.559299021
30709,-0.590681416,-0.510243269,-0.559022994
30710,-0.590394468,-0.509874989,-0.558659175
30711,-0.590107521,-0.509653843,-0.558383153
30712,-0.589820573,-0.509354136,-0.55807144
30713,-0.589533626,-0.509132991,-0.557795413
30714,-0.589246678,-0.50876471,-0.557431599
30715,-0.588959731,-0.508543565,-0.557155572
30716,-0.588672783,-0.508470251,-0.557065525
30717,-0.588385836,-0.508249105,-0.556789498
30718,-0.588098888,-0.507880824,-0.556425679
30719,-0.587811941,-0.507659679,-0.556149658
30720,-0.587524993,-0.508066005,-0.554791128
30721,-0.587238046,-0.507844859,-0.554515101
30722,-0.586951098,-0.507476579,-0.554151288
30723,-0.586664151,-0.507255433,-0.553875261
30724,-0.586377203,-0.507182119,-0.553785214
30725,-0.586090256,-0.506960974,-0.553509187
30726,-0.585803308,-0.506592693,-0.553145368
30727,-0.585516361,-0.506371547,-0.552869346
30728,-0.585229413,-0.506071841,-0.552557633
30729,-0.584942466,-0.505850695,-0.552281606
30730,-0.584655518,-0.505482414,-0.551917792
30731,-0.584368571,-0.505261269,-0.551641765
30732,-0.584081623,-0.505187955,-0.551551718
30733,-0.583794676,-0.504966809,-0.551275691
30734,-0.583507729,-0.504598528,-0.550911872
30735,-0.583220781,-0.504377383,-0.55063585
30736,-0.582933834,-0.504006244,-0.550297056
30737,-0.582646886,-0.503785098,-0.550021029
30738,-0.582359939,-0.503416817,-0.549657216
30739,-0.582072991,-0.503195672,-0.549381188
30740,-0.581786044,-0.503122358,-0.549291142
30741,-0.581499096,-0.502901212,-0.549015114
30742,-0.581212149,-0.502532932,-0.548651296
30743,-0.580925201,-0.502311786,-0.548375274
30744,-0.580638254,-0.502012079,-0.548063561
30745,-0.580351306,-0.501790934,-0.547787533
30746,-0.580064359,-0.501422653,-0.54742372
30747,-0.579777411,-0.501201507,-0.547147693
30748,-0.579490464,-0.501128193,-0.547057646
30749,-0.579203516,-0.500907048,-0.546781619
30750,-0.578916569,-0.500538767,-0.5464178
30751,-0.578629621,-0.500317621,-0.546141778
30752,-0.578342674,-0.500016494,-0.545871225
30753,-0.578055726,-0.499795348,-0.545595198
30754,-0.577768779,-0.499427067,-0.545231385
30755,-0.577481831,-0.499205922,-0.544955357
30756,-0.577194884,-0.499132608,-0.544865311
30757,-0.576907936,-0.498911462,-0.544589283
30758,-0.576620989,-0.498543182,-0.544225465
30759,-0.576334041,-0.498322036,-0.543949443
30760,-0.576047094,-0.498022329,-0.54363773
30761,-0.575760146,-0.497801183,-0.543361702
30762,-0.575473199,-0.497432903,-0.542997889
30763,-0.575186251,-0.497211757,-0.542721862
30764,-0.574899304,-0.497138443,-0.542631815
30765,-0.574612356,-0.496917298,-0.542355788
30766,-0.574325409,-0.496549017,-0.541991969
30767,-0.574038461,-0.496327871,-0.541715947
30768,-0.573751514,-0.495956732,-0.541377153
30769,-0.573464566,-0.495735587,-0.541101126
30770,-0.573177619,-0.495367306,-0.540737312
30771,-0.572890671,-0.49514616,-0.540461285
30772,-0.572603724,-0.495072846,-0.540371238
30773,-0.572316776,-0.494851701,-0.540095211
30774,-0.572029829,-0.49448342,-0.539731393
30775,-0.571742881,-0.494262275,-0.539455371
30776,-0.571455934,-0.493962568,-0.539143657
30777,-0.571168986,-0.493741422,-0.53886763
30778,-0.570882039,-0.493373142,-0.538503817
30779,-0.570595091,-0.493151996,-0.538227789
30780,-0.570308144,-0.493078682,-0.538137743
30781,-0.570021196,-0.492857536,-0.537861716
30782,-0.569734249,-0.492489256,-0.537497897
30783,-0.569447301,-0.49226811,-0.537221875
30784,-0.569160354,-0.491966637,-0.536531359
30785,-0.568873406,-0.491745491,-0.536255332
30786,-0.568586459,-0.491377211,-0.535891519
30787,-0.568299511,-0.491156065,-0.535615491
30788,-0.568012564,-0.491082751,-0.535525445
30789,-0.567725616,-0.490861605,-0.535249417
30790,-0.567438669,-0.490493325,-0.534885599
30791,-0.567151721,-0.490272179,-0.534609577
30792,-0.566864774,-0.489972472,-0.534297864
30793,-0.566577826,-0.489751327,-0.534021836
30794,-0.566290879,-0.489383046,-0.533658023
30795,-0.566003931,-0.489161901,-0.533381996
30796,-0.565716984,-0.489088587,-0.533291949
30797,-0.565430036,-0.488867441,-0.533015922
30798,-0.565143089,-0.48849916,-0.532652103
30799,-0.564856141,-0.488278015,-0.532376081
30800,-0.564569194,-0.487906876,-0.532037287
30801,-0.564282246,-0.48768573,-0.53176126
30802,-0.563995299,-0.487317449,-0.531397446
30803,-0.563708351,-0.487096304,-0.531121419
30804,-0.563421404,-0.48702299,-0.531031372
30805,-0.563134456,-0.486801844,-0.530755345
30806,-0.562847509,-0.486433563,-0.530391527
30807,-0.562560561,-0.486212418,-0.530115504
30808,-0.562273614,-0.485912711,-0.529803791
30809,-0.561986666,-0.485691565,-0.529527764
30810,-0.561699719,-0.485323285,-0.529163951
30811,-0.561412772,-0.485102139,-0.528887923
30812,-0.561125824,-0.485028825,-0.528797877
30813,-0.560838877,-0.48480768,-0.528521849
30814,-0.560551929,-0.484439399,-0.528158031
30815,-0.560264982,-0.484218253,-0.527882009
30816,-0.559978034,-0.483917126,-0.527611456
30817,-0.559691087,-0.48369598,-0.527335429
30818,-0.559404139,-0.483327699,-0.526971615
30819,-0.559117192,-0.483106554,-0.526695588
30820,-0.558830244,-0.48303324,-0.526605541
30821,-0.558543297,-0.482812094,-0.526329514
30822,-0.558256349,-0.482443813,-0.525965696
30823,-0.557969402,-0.482222668,-0.525689674
30824,-0.557682454,-0.481922961,-0.52537796
30825,-0.557395507,-0.481701815,-0.525101933
30826,-0.557108559,-0.481333535,-0.52473812
30827,-0.556821612,-0.481112389,-0.524462092
30828,-0.556534664,-0.481039075,-0.524372046
30829,-0.556247717,-0.48081793,-0.524096019
30830,-0.555960769,-0.480449649,-0.5237322
30831,-0.555673822,-0.480228503,-0.523456178
30832,-0.555386874,-0.479857364,-0.523117384
30833,-0.555099927,-0.479636218,-0.522841356
30834,-0.554812979,-0.479267938,-0.522477543
30835,-0.554526032,-0.479046792,-0.522201516
30836,-0.554239084,-0.478973478,-0.522111469
30837,-0.553952137,-0.478752333,-0.521835442
30838,-0.553665189,-0.478384052,-0.521471623
30839,-0.553378242,-0.478162906,-0.521195601
30840,-0.553091294,-0.4778632,-0.520883888
30841,-0.552804347,-0.477642054,-0.520607861
30842,-0.552517399,-0.477273773,-0.520244047
30843,-0.552230452,-0.477052628,-0.51996802
30844,-0.551943504,-0.476979314,-0.519877974
30845,-0.551656557,-0.476758168,-0.519601946
30846,-0.551369609,-0.476389888,-0.519238128
30847,-0.551082662,-0.476168742,-0.518962106
30848,-0.550795714,-0.476898435,-0.519869513
30849,-0.550508767,-0.476677289,-0.519593486
30850,-0.550221819,-0.476309008,-0.519229673
30851,-0.549934872,-0.476087863,-0.518953645
30852,-0.549647924,-0.476014549,-0.518863599
30853,-0.549360977,-0.475793403,-0.518587571
30854,-0.549074029,-0.475425123,-0.518223753
30855,-0.548787082,-0.475203977,-0.517947731
30856,-0.548500134,-0.47490427,-0.517636018
30857,-0.548213187,-0.474683124,-0.51735999
30858,-0.547926239,-0.474314844,-0.516996177
30859,-0.547639292,-0.474093698,-0.51672015
30860,-0.547352344,-0.474020384,-0.516630103
30861,-0.547065397,-0.473799239,-0.516354076
30862,-0.546778449,-0.473430958,-0.515990257
30863,-0.546491502,-0.473209812,-0.515714235
30864,-0.546204554,-0.472838673,-0.515375441
30865,-0.545917607,-0.472617528,-0.515099414
30866,-0.545630659,-0.472249247,-0.5147356
30867,-0.545343712,-0.472028101,-0.514459573
30868,-0.545056764,-0.471954787,-0.514369526
30869,-0.544769817,-0.471733642,-0.514093499
30870,-0.544482869,-0.471365361,-0.513729681
30871,-0.544195922,-0.471144215,-0.513453658
30872,-0.543908974,-0.470844509,-0.513141945
30873,-0.543622027,-0.470623363,-0.512865918
30874,-0.543335079,-0.470255083,-0.512502105
30875,-0.543048132,-0.470033937,-0.512226077
30876,-0.542761184,-0.469960623,-0.512136031
30877,-0.542474237,-0.469739477,-0.511860003
30878,-0.542187289,-0.469371197,-0.511496185
30879,-0.541900342,-0.469150051,-0.511220163
30880,-0.541613394,-0.468848923,-0.51094961
30881,-0.541326447,-0.468627778,-0.510673583
30882,-0.541039499,-0.468259497,-0.510309769
30883,-0.540752552,-0.468038351,-0.510033742
30884,-0.540465604,-0.467965037,-0.509943696
30885,-0.540178657,-0.467743892,-0.509667668
30886,-0.53989171,-0.467375611,-0.50930385
30887,-0.539604762,-0.467154465,-0.509027828
30888,-0.539317815,-0.466854759,-0.508716114
30889,-0.539030867,-0.466633613,-0.508440087
30890,-0.53874392,-0.466265333,-0.508076274
30891,-0.538456972,-0.466044187,-0.507800247
30892,-0.538170025,-0.465970873,-0.5077102
30893,-0.537883077,-0.465749727,-0.507434173
30894,-0.53759613,-0.465381447,-0.507070354
30895,-0.537309182,-0.465160301,-0.506794332
30896,-0.537022235,-0.464789162,-0.506455538
30897,-0.536735287,-0.464568016,-0.50617951
30898,-0.53644834,-0.464199736,-0.505815697
30899,-0.536161392,-0.46397859,-0.50553967
30900,-0.535874445,-0.463905276,-0.505449623
30901,-0.535587497,-0.46368413,-0.505173596
30902,-0.53530055,-0.46331585,-0.504809777
30903,-0.535013602,-0.463094704,-0.504533755
30904,-0.534726655,-0.462794997,-0.504222042
30905,-0.534439707,-0.462573852,-0.503946015
30906,-0.53415276,-0.462205571,-0.503582202
30907,-0.533865812,-0.461984426,-0.503306174
30908,-0.533578865,-0.461911112,-0.503216128
30909,-0.533291917,-0.461689966,-0.5029401
30910,-0.53300497,-0.461321685,-0.502576282
30911,-0.532718022,-0.46110054,-0.50230026
30912,-0.532431075,-0.460799066,-0.501609744
30913,-0.532144127,-0.460577921,-0.501333717
30914,-0.53185718,-0.46020964,-0.500969903
30915,-0.531570232,-0.459988495,-0.500693876
30916,-0.531283285,-0.459915181,-0.500603829
30917,-0.530996337,-0.459694035,-0.500327802
30918,-0.53070939,-0.459325754,-0.499963984
30919,-0.530422442,-0.459104609,-0.499687961
30920,-0.530135495,-0.458804902,-0.499376248
30921,-0.529848547,-0.458583756,-0.499100221
30922,-0.5295616,-0.458215476,-0.498736408
30923,-0.529274652,-0.45799433,-0.49846038
30924,-0.528987705,-0.457921016,-0.498370334
30925,-0.528700757,-0.45769987,-0.498094306
30926,-0.52841381,-0.45733159,-0.497730488
30927,-0.528126862,-0.457110444,-0.497454466
30928,-0.527839915,-0.456739305,-0.497115672
30929,-0.527552967,-0.456518159,-0.496839644
30930,-0.52726602,-0.456149879,-0.496475831
30931,-0.526979072,-0.455928733,-0.496199804
30932,-0.526692125,-0.455855419,-0.496109757
30933,-0.526405177,-0.455634274,-0.49583373
30934,-0.52611823,-0.455265993,-0.495469911
30935,-0.525831282,-0.455044847,-0.495193889
30936,-0.525544335,-0.454745141,-0.494882176
30937,-0.525257387,-0.454523995,-0.494606149
30938,-0.52497044,-0.454155714,-0.494242335
30939,-0.524683492,-0.453934569,-0.493966308
30940,-0.524396545,-0.453861255,-0.493876261
30941,-0.524109597,-0.453640109,-0.493600234
30942,-0.52382265,-0.453271829,-0.493236416
30943,-0.523535702,-0.453050683,-0.492960394
30944,-0.523248755,-0.452749555,-0.492689841
30945,-0.522961807,-0.452528409,-0.492413813
30946,-0.52267486,-0.452160129,-0.49205
30947,-0.522387912,-0.451938983,-0.491773973
30948,-0.522100965,-0.451865669,-0.491683926
30949,-0.521814017,-0.451644524,-0.491407899
30950,-0.52152707,-0.451276243,-0.491044081
30951,-0.521240122,-0.451055097,-0.490768058
30952,-0.520953175,-0.450755391,-0.490456345
30953,-0.520666227,-0.450534245,-0.490180318
30954,-0.52037928,-0.450165964,-0.489816505
30955,-0.520092332,-0.449944819,-0.489540477
30956,-0.519805385,-0.449871505,-0.489450431
30957,-0.519518437,-0.449650359,-0.489174403
30958,-0.51923149,-0.449282079,-0.488810585
30959,-0.518944542,-0.449060933,-0.488534563
30960,-0.518657595,-0.448689794,-0.488195768
30961,-0.518370647,-0.448468648,-0.487919741
30962,-0.5180837,-0.448100368,-0.487555928
30963,-0.517796753,-0.447879222,-0.4872799
30964,-0.517509805,-0.447805908,-0.487189854
30965,-0.517222858,-0.447584762,-0.486913827
30966,-0.51693591,-0.447216482,-0.486550008
30967,-0.516648963,-0.446995336,-0.486273986
30968,-0.516362015,-0.446695629,-0.485962273
30969,-0.516075068,-0.446474484,-0.485686245
30970,-0.51578812,-0.446106203,-0.485322432
30971,-0.515501173,-0.445885057,-0.485046405
30972,-0.515214225,-0.445811743,-0.484956358
30973,-0.514927278,-0.445590598,-0.484680331
30974,-0.51464033,-0.445222317,-0.484316513
30975,-0.514353383,-0.445001172,-0.48404049
30976,-0.514066435,-0.446027049,-0.482837207
30977,-0.513779488,-0.445805903,-0.48256118
30978,-0.51349254,-0.445437622,-0.482197367
30979,-0.513205593,-0.445216477,-0.481921339
30980,-0.512918645,-0.445143163,-0.481831293
30981,-0.512631698,-0.444922017,-0.481555265
30982,-0.51234475,-0.444553737,-0.481191447
30983,-0.512057803,-0.444332591,-0.480915425
30984,-0.511770855,-0.444032884,-0.480603712
30985,-0.511483908,-0.443811738,-0.480327684
30986,-0.51119696,-0.443443458,-0.479963871
30987,-0.510910013,-0.443222312,-0.479687844
30988,-0.510623065,-0.443148998,-0.479597797
30989,-0.510336118,-0.442927853,-0.47932177
30990,-0.51004917,-0.442559572,-0.478957952
30991,-0.509762223,-0.442338426,-0.478681929
30992,-0.509475275,-0.441967287,-0.478343135
30993,-0.509188328,-0.441746142,-0.478067108
30994,-0.50890138,-0.441377861,-0.477703294
30995,-0.508614433,-0.441156715,-0.477427267
30996,-0.508327485,-0.441083401,-0.47733722
30997,-0.508040538,-0.440862256,-0.477061193
30998,-0.50775359,-0.440493975,-0.476697375
30999,-0.507466643,-0.440272829,-0.476421352
31000,-0.507179695,-0.439973123,-0.476109639
31001,-0.506892748,-0.439751977,-0.475833612
31002,-0.5066058,-0.439383697,-0.475469799
31003,-0.506318853,-0.439162551,-0.475193771
31004,-0.506031905,-0.439089237,-0.475103725
31005,-0.505744958,-0.438868091,-0.474827697
31006,-0.50545801,-0.438499811,-0.474463879
31007,-0.505171063,-0.438278665,-0.474187857
31008,-0.504884115,-0.437977537,-0.473917304
31009,-0.504597168,-0.437756392,-0.473641277
31010,-0.50431022,-0.437388111,-0.473277463
31011,-0.504023273,-0.437166965,-0.473001436
31012,-0.503736325,-0.437093651,-0.47291139
31013,-0.503449378,-0.436872506,-0.472635362
31014,-0.50316243,-0.436504225,-0.472271544
31015,-0.502875483,-0.436283079,-0.471995522
31016,-0.502588535,-0.435983373,-0.471683809
31017,-0.502301588,-0.435762227,-0.471407781
31018,-0.50201464,-0.435393947,-0.471043968
31019,-0.501727693,-0.435172801,-0.470767941
31020,-0.501440745,-0.435099487,-0.470677894
31021,-0.501153798,-0.434878341,-0.470401867
31022,-0.50086685,-0.434510061,-0.470038049
31023,-0.500579903,-0.434288915,-0.469762026
31024,-0.500292955,-0.433917776,-0.469423232
31025,-0.500006008,-0.43369663,-0.469147204
31026,-0.49971906,-0.43332835,-0.468783391
31027,-0.499432113,-0.433107204,-0.468507364
31028,-0.499145165,-0.43303389,-0.468417317
31029,-0.498858218,-0.432812744,-0.46814129
31030,-0.49857127,-0.432444464,-0.467777472
31031,-0.498284323,-0.432223318,-0.467501449
31032,-0.497997375,-0.431923611,-0.467189736
31033,-0.497710428,-0.431702466,-0.466913709
31034,-0.49742348,-0.431334185,-0.466549896
31035,-0.497136533,-0.43111304,-0.466273868
31036,-0.496849585,-0.431039726,-0.466183822
31037,-0.496562638,-0.43081858,-0.465907794
31038,-0.496275691,-0.430450299,-0.465543976
31039,-0.495988743,-0.430229154,-0.465267954
31040,-0.495701796,-0.42992768,-0.464577438
31041,-0.495414848,-0.429706535,-0.464301411
31042,-0.495127901,-0.429338254,-0.463937597
31043,-0.494840953,-0.429117109,-0.46366157
31044,-0.494554006,-0.429043795,-0.463571523
31045,-0.494267058,-0.428822649,-0.463295496
31046,-0.493980111,-0.428454368,-0.462931678
31047,-0.493693163,-0.428233223,-0.462655655
31048,-0.493406216,-0.427933516,-0.462343942
31049,-0.493119268,-0.42771237,-0.462067915
31050,-0.492832321,-0.42734409,-0.461704102
31051,-0.492545373,-0.427122944,-0.461428074
31052,-0.492258426,-0.42704963,-0.461338028
31053,-0.491971478,-0.426828484,-0.461062
31054,-0.491684531,-0.426460204,-0.460698183
31055,-0.491397583,-0.426239058,-0.46042216
31056,-0.491110636,-0.425867919,-0.460083366
31057,-0.490823688,-0.425646773,-0.459807338
31058,-0.490536741,-0.425278493,-0.459443525
31059,-0.490249793,-0.425057347,-0.459167498
31060,-0.489962846,-0.424984033,-0.459077451
31061,-0.489675898,-0.424762888,-0.458801424
31062,-0.489388951,-0.424394607,-0.458437606
31063,-0.489102003,-0.424173461,-0.458161583
31064,-0.488815056,-0.423873755,-0.45784987
31065,-0.488528108,-0.423652609,-0.457573843
31066,-0.488241161,-0.423284328,-0.457210029
31067,-0.487954213,-0.423063183,-0.456934002
31068,-0.487667266,-0.422989869,-0.456843955
31069,-0.487380318,-0.422768723,-0.456567928
31070,-0.487093371,-0.422400443,-0.45620411
31071,-0.486806423,-0.422179297,-0.455928088
31072,-0.486519476,-0.421878169,-0.455657535
31073,-0.486232528,-0.421657023,-0.455381507
31074,-0.485945581,-0.421288743,-0.455017694
31075,-0.485658633,-0.421067597,-0.454741667
31076,-0.485371686,-0.420994283,-0.45465162
31077,-0.485084738,-0.420773138,-0.454375593
31078,-0.484797791,-0.420404857,-0.454011775
31079,-0.484510843,-0.420183711,-0.453735752
31080,-0.484223896,-0.419884005,-0.453424039
31081,-0.483936948,-0.419662859,-0.453148012
31082,-0.483650001,-0.419294578,-0.452784199
31083,-0.483363053,-0.419073433,-0.452508171
31084,-0.483076106,-0.419000119,-0.452418125
31085,-0.482789158,-0.418778973,-0.452142097
31086,-0.482502211,-0.418410693,-0.451778279
31087,-0.482215263,-0.418189547,-0.451502257
31088,-0.481928316,-0.417818408,-0.451163462
31089,-0.481641368,-0.417597262,-0.450887435
31090,-0.481354421,-0.417228981,-0.450523622
31091,-0.481067473,-0.417007836,-0.450247594
31092,-0.480780526,-0.416934522,-0.450157548
31093,-0.480493578,-0.416713376,-0.449881521
31094,-0.480206631,-0.416345096,-0.449517703
31095,-0.479919683,-0.41612395,-0.44924168
31096,-0.479632736,-0.415824243,-0.448929967
31097,-0.479345788,-0.415603098,-0.44865394
31098,-0.479058841,-0.415234817,-0.448290126
31099,-0.478771893,-0.415013671,-0.448014099
31100,-0.478484946,-0.414940357,-0.447924052
31101,-0.478197998,-0.414719212,-0.447648025
31102,-0.477911051,-0.414350931,-0.447284207
31103,-0.477624103,-0.414129786,-0.447008184
31104,-0.477337156,-0.414859478,-0.447915592
31105,-0.477050208,-0.414638333,-0.447639565
31106,-0.476763261,-0.414270052,-0.447275752
31107,-0.476476313,-0.414048906,-0.446999724
31108,-0.476189366,-0.413975592,-0.446909678
31109,-0.475902418,-0.413754447,-0.44663365
31110,-0.475615471,-0.413386166,-0.446269832
31111,-0.475328523,-0.41316502,-0.44599381
31112,-0.475041576,-0.412865314,-0.445682097
31113,-0.474754628,-0.412644168,-0.445406069
31114,-0.474467681,-0.412275888,-0.445042256
31115,-0.474180734,-0.412054742,-0.444766229
31116,-0.473893786,-0.411981428,-0.444676182
31117,-0.473606839,-0.411760282,-0.444400155
31118,-0.473319891,-0.411392002,-0.444036337
31119,-0.473032944,-0.411170856,-0.443760314
31120,-0.472745996,-0.410799717,-0.44342152
31121,-0.472459049,-0.410578571,-0.443145493
31122,-0.472172101,-0.410210291,-0.442781679
31123,-0.471885154,-0.409989145,-0.442505652
31124,-0.471598206,-0.409915831,-0.442415605
31125,-0.471311259,-0.409694685,-0.442139578
31126,-0.471024311,-0.409326405,-0.44177576
31127,-0.470737364,-0.409105259,-0.441499737
31128,-0.470450416,-0.408805552,-0.441188024
31129,-0.470163469,-0.408584407,-0.440911997
31130,-0.469876521,-0.408216126,-0.440548184
31131,-0.469589574,-0.407994981,-0.440272156
31132,-0.469302626,-0.407921667,-0.44018211
31133,-0.469015679,-0.407700521,-0.439906082
31134,-0.468728731,-0.40733224,-0.439542265
31135,-0.468441784,-0.407111095,-0.439266242
31136,-0.468154836,-0.406809967,-0.438995689
31137,-0.467867889,-0.406588821,-0.438719662
31138,-0.467580941,-0.406220541,-0.438355848
31139,-0.467293994,-0.405999395,-0.438079821
