code,MC1_seed=1,MC1_seed=2
437,-0.02058131,-0.02033436
438,-0.020580527,-0.020333694
439,-0.020579933,-0.020333153
440,-0.020579378,-0.020332285
441,-0.020578784,-0.020331744
442,-0.020578001,-0.020331078
443,-0.020577407,-0.020330537
444,-0.020576644,-0.020329912
445,-0.02057605,-0.020329371
446,-0.020575267,-0.020328705
447,-0.020574673,-0.020328164
448,-0.020568504,-0.020326901
449,-0.02056791,-0.02032636
450,-0.020567127,-0.020325694
451,-0.020566533,-0.020325153
452,-0.02056577,-0.020324528
453,-0.020565176,-0.020323987
454,-0.020564393,-0.020323321
455,-0.020563799,-0.02032278
456,-0.020563244,-0.020321912
457,-0.02056265,-0.020321371
458,-0.020561867,-0.020320705
459,-0.020561273,-0.020320164
460,-0.02056051,-0.020319539
461,-0.020559916,-0.020318997
462,-0.020559133,-0.020318332
463,-0.020558539,-0.020317791
464,-0.020558743,-0.020316216
465,-0.020558149,-0.020315675
466,-0.020557366,-0.020315009
467,-0.020556772,-0.020314468
468,-0.020556009,-0.020313843
469,-0.020555415,-0.020313301
470,-0.020554632,-0.020312636
471,-0.020554038,-0.020312095
472,-0.020553483,-0.020311227
473,-0.020552889,-0.020310685
474,-0.020552106,-0.02031002
475,-0.020551512,-0.020309479
476,-0.020550749,-0.020308854
477,-0.020550155,-0.020308312
478,-0.020549372,-0.020307647
479,-0.020548778,-0.020307105
480,-0.020551892,-0.020309326
481,-0.020551297,-0.020308785
482,-0.020550515,-0.02030812
483,-0.02054992,-0.020307578
484,-0.020549158,-0.020306953
485,-0.020548564,-0.020306412
486,-0.020547781,-0.020305747
487,-0.020547186,-0.020305205
488,-0.020546632,-0.020304337
489,-0.020546038,-0.020303796
490,-0.020545255,-0.02030313
491,-0.02054466,-0.020302589
492,-0.020543898,-0.020301964
493,-0.020543304,-0.020301423
494,-0.020542521,-0.020300757
495,-0.020541927,-0.020300216
496,-0.020542131,-0.020298641
497,-0.020541536,-0.0202981
498,-0.020540754,-0.020297434
499,-0.020540159,-0.020296893
500,-0.020539397,-0.020296268
501,-0.020538803,-0.020295727
502,-0.02053802,-0.020295061
503,-0.020537425,-0.02029452
504,-0.020536871,-0.020293652
505,-0.020536277,-0.020293111
506,-0.020535494,-0.020292445
507,-0.020534899,-0.020291904
508,-0.020534137,-0.020291279
509,-0.020533543,-0.020290738
510,-0.02053276,-0.020290072
511,-0.020532166,-0.020289531
512,-0.020533555,-0.020269936
513,-0.02053296,-0.020269395
514,-0.020532178,-0.020268729
515,-0.020531583,-0.020268188
516,-0.020530821,-0.020267563
517,-0.020530226,-0.020267022
518,-0.020529444,-0.020266356
519,-0.020528849,-0.020265815
520,-0.020528295,-0.020264947
521,-0.0205277,-0.020264405
522,-0.020526918,-0.02026374
523,-0.020526323,-0.020263199
524,-0.020525561,-0.020262574
525,-0.020524967,-0.020262032
526,-0.020524184,-0.020261367
527,-0.020523589,-0.020260826
528,-0.020523794,-0.020259251
529,-0.020523199,-0.020258709
530,-0.020522417,-0.020258044
531,-0.020521822,-0.020257503
532,-0.02052106,-0.020256878
533,-0.020520465,-0.020256336
534,-0.020519683,-0.020255671
535,-0.020519088,-0.02025513
536,-0.020518534,-0.020254261
537,-0.020517939,-0.02025372
538,-0.020517157,-0.020253055
539,-0.020516562,-0.020252513
540,-0.0205158,-0.020251888
541,-0.020515206,-0.020251347
542,-0.020514423,-0.020250682
543,-0.020513828,-0.02025014
544,-0.020516943,-0.020252361
545,-0.020516348,-0.02025182
546,-0.020515565,-0.020251155
547,-0.020514971,-0.020250613
548,-0.020514209,-0.020249988
549,-0.020513614,-0.020249447
550,-0.020512832,-0.020248781
551,-0.020512237,-0.02024824
552,-0.020511683,-0.020247372
553,-0.020511088,-0.020246831
554,-0.020510306,-0.020246165
555,-0.020509711,-0.020245624
556,-0.020508949,-0.020244999
557,-0.020508354,-0.020244458
558,-0.020507572,-0.020243792
559,-0.020506977,-0.020243251
560,-0.020507182,-0.020241676
561,-0.020506587,-0.020241135
562,-0.020505804,-0.020240469
563,-0.02050521,-0.020239928
564,-0.020504448,-0.020239303
565,-0.020503853,-0.020238762
566,-0.020503071,-0.020238096
567,-0.020502476,-0.020237555
568,-0.020501922,-0.020236687
569,-0.020501327,-0.020236145
570,-0.020500545,-0.02023548
571,-0.02049995,-0.020234939
572,-0.020499188,-0.020234314
573,-0.020498593,-0.020233772
574,-0.020497811,-0.020233107
575,-0.020497216,-0.020232566
576,-0.020491048,-0.020231303
577,-0.020490453,-0.020230762
578,-0.02048967,-0.020230096
579,-0.020489076,-0.020229555
580,-0.020488314,-0.02022893
581,-0.020487719,-0.020228389
582,-0.020486937,-0.020227723
583,-0.020486342,-0.020227182
584,-0.020485788,-0.020226314
585,-0.020485193,-0.020225772
586,-0.020484411,-0.020225107
587,-0.020483816,-0.020224566
588,-0.020483054,-0.020223941
589,-0.020482459,-0.020223399
590,-0.020481677,-0.020222734
591,-0.020481082,-0.020222193
592,-0.020481287,-0.020220618
593,-0.020480692,-0.020220076
594,-0.020479909,-0.020219411
595,-0.020479315,-0.02021887
596,-0.020478553,-0.020218245
597,-0.020477958,-0.020217703
598,-0.020477176,-0.020217038
599,-0.020476581,-0.020216497
600,-0.020476027,-0.020215628
601,-0.020475432,-0.020215087
602,-0.02047465,-0.020214422
603,-0.020474055,-0.02021388
604,-0.020473293,-0.020213255
605,-0.020472698,-0.020212714
606,-0.020471916,-0.020212049
607,-0.020471321,-0.020211507
608,-0.020474435,-0.020213728
609,-0.020473841,-0.020213187
610,-0.020473058,-0.020212522
611,-0.020472464,-0.02021198
612,-0.020471702,-0.020211355
613,-0.020471107,-0.020210814
614,-0.020470324,-0.020210149
615,-0.02046973,-0.020209607
616,-0.020469176,-0.020208739
617,-0.020468581,-0.020208198
618,-0.020467798,-0.020207532
619,-0.020467204,-0.020206991
620,-0.020466442,-0.020206366
621,-0.020465847,-0.020205825
622,-0.020465065,-0.020205159
623,-0.02046447,-0.020204618
624,-0.020464674,-0.020203043
625,-0.02046408,-0.020202502
626,-0.020463297,-0.020201836
627,-0.020462703,-0.020201295
628,-0.020461941,-0.02020067
629,-0.020461346,-0.020200129
630,-0.020460563,-0.020199463
631,-0.020459969,-0.020198922
632,-0.020459415,-0.020198054
633,-0.02045882,-0.020197513
634,-0.020458037,-0.020196847
635,-0.020457443,-0.020196306
636,-0.020456681,-0.020195681
637,-0.020456086,-0.020195139
638,-0.020455304,-0.020194474
639,-0.020454709,-0.020193933
640,-0.020459443,-0.020194236
641,-0.020458848,-0.020193695
642,-0.020458066,-0.020193029
643,-0.020457471,-0.020192488
644,-0.020456709,-0.020191863
645,-0.020456115,-0.020191322
646,-0.020455332,-0.020190656
647,-0.020454737,-0.020190115
648,-0.020454183,-0.020189247
649,-0.020453589,-0.020188705
650,-0.020452806,-0.02018804
651,-0.020452211,-0.020187499
652,-0.020451449,-0.020186874
653,-0.020450855,-0.020186332
654,-0.020450072,-0.020185667
655,-0.020449478,-0.020185125
656,-0.020449682,-0.020183551
657,-0.020449087,-0.020183009
658,-0.020448305,-0.020182344
659,-0.02044771,-0.020181803
660,-0.020446948,-0.020181178
661,-0.020446354,-0.020180636
662,-0.020445571,-0.020179971
663,-0.020444976,-0.020179429
664,-0.020444422,-0.020178561
665,-0.020443828,-0.02017802
666,-0.020443045,-0.020177355
667,-0.02044245,-0.020176813
668,-0.020441688,-0.020176188
669,-0.020441094,-0.020175647
670,-0.020440311,-0.020174982
671,-0.020439717,-0.02017444
672,-0.020442831,-0.020176661
673,-0.020442236,-0.02017612
674,-0.020441454,-0.020175454
675,-0.020440859,-0.020174913
676,-0.020440097,-0.020174288
677,-0.020439502,-0.020173747
678,-0.02043872,-0.020173081
679,-0.020438125,-0.02017254
680,-0.020437571,-0.020171672
681,-0.020436976,-0.020171131
682,-0.020436194,-0.020170465
683,-0.020435599,-0.020169924
684,-0.020434837,-0.020169299
685,-0.020434242,-0.020168758
686,-0.02043346,-0.020168092
687,-0.020432865,-0.020167551
688,-0.02043307,-0.020165976
689,-0.020432475,-0.020165435
690,-0.020431693,-0.020164769
691,-0.020431098,-0.020164228
692,-0.020430336,-0.020163603
693,-0.020429741,-0.020163062
694,-0.020428959,-0.020162396
695,-0.020428364,-0.020161855
696,-0.02042781,-0.020160987
697,-0.020427215,-0.020160445
698,-0.020426433,-0.02015978
699,-0.020425838,-0.020159239
700,-0.020425076,-0.020158614
701,-0.020424481,-0.020158072
702,-0.020423699,-0.020157407
703,-0.020423104,-0.020156866
704,-0.020416936,-0.020155603
705,-0.020416341,-0.020155062
706,-0.020415559,-0.020154396
707,-0.020414964,-0.020153855
708,-0.020414202,-0.02015323
709,-0.020413607,-0.020152689
710,-0.020412825,-0.020152023
711,-0.02041223,-0.020151482
712,-0.020411676,-0.020150614
713,-0.020411081,-0.020150072
714,-0.020410299,-0.020149407
715,-0.020409704,-0.020148866
716,-0.020408942,-0.020148241
717,-0.020408348,-0.020147699
718,-0.020407565,-0.020147034
719,-0.02040697,-0.020146493
720,-0.020407175,-0.020144918
721,-0.02040658,-0.020144376
722,-0.020405798,-0.020143711
723,-0.020405203,-0.02014317
724,-0.020404441,-0.020142545
725,-0.020403846,-0.020142003
726,-0.020403064,-0.020141338
727,-0.020402469,-0.020140797
728,-0.020401915,-0.020139928
729,-0.02040132,-0.020139387
730,-0.020400538,-0.020138722
731,-0.020399943,-0.02013818
732,-0.020399181,-0.020137555
733,-0.020398587,-0.020137014
734,-0.020397804,-0.020136349
735,-0.020397209,-0.020135807
736,-0.020400324,-0.020138028
737,-0.020399729,-0.020137487
738,-0.020398946,-0.020136822
739,-0.020398352,-0.02013628
740,-0.02039759,-0.020135655
741,-0.020396995,-0.020135114
742,-0.020396213,-0.020134449
743,-0.020395618,-0.020133907
744,-0.020395064,-0.020133039
745,-0.020394469,-0.020132498
746,-0.020393687,-0.020131832
747,-0.020393092,-0.020131291
748,-0.02039233,-0.020130666
749,-0.020391735,-0.020130125
750,-0.020390953,-0.020129459
751,-0.020390358,-0.020128918
752,-0.020390563,-0.020127343
753,-0.020389968,-0.020126802
754,-0.020389185,-0.020126136
755,-0.020388591,-0.020125595
