code,MC1_seed=1,MC1_seed=2
319,-0.022675354,-0.022129269
320,-0.022675799,-0.022125945
321,-0.022675138,-0.022125217
322,-0.022674429,-0.02212466
323,-0.022673767,-0.022123933
324,-0.022673121,-0.022123038
325,-0.022672459,-0.022122311
326,-0.02267175,-0.022121754
327,-0.022671089,-0.022121026
328,-0.022670287,-0.022120147
329,-0.022669626,-0.02211942
330,-0.022668917,-0.022118863
331,-0.022668255,-0.022118135
332,-0.022667609,-0.02211724
333,-0.022666947,-0.022116513
334,-0.022666239,-0.022115956
335,-0.022665577,-0.022115228
336,-0.022665964,-0.022115693
337,-0.022665303,-0.022114966
338,-0.022664594,-0.022114409
339,-0.022663933,-0.022113681
340,-0.022663286,-0.022112787
341,-0.022662625,-0.022112059
342,-0.022661916,-0.022111502
343,-0.022661255,-0.022110774
344,-0.022660453,-0.022109896
345,-0.022659791,-0.022109168
346,-0.022659082,-0.022108611
347,-0.022658421,-0.022107883
348,-0.022657774,-0.022106989
349,-0.022657113,-0.022106261
350,-0.022656404,-0.022105704
351,-0.022655743,-0.022104976
352,-0.022653984,-0.02210787
353,-0.022653323,-0.022107142
354,-0.022652614,-0.022106585
355,-0.022651953,-0.022105858
356,-0.022651306,-0.022104963
357,-0.022650645,-0.022104236
358,-0.022649936,-0.022103679
359,-0.022649275,-0.022102951
360,-0.022648473,-0.022102072
361,-0.022647811,-0.022101345
362,-0.022647102,-0.022100788
363,-0.022646441,-0.02210006
364,-0.022645794,-0.022099165
365,-0.022645133,-0.022098438
366,-0.022644424,-0.022097881
367,-0.022643763,-0.022097153
368,-0.02264415,-0.022097618
369,-0.022643489,-0.022096891
370,-0.02264278,-0.022096334
371,-0.022642118,-0.022095606
372,-0.022641472,-0.022094712
373,-0.022640811,-0.022093984
374,-0.022640102,-0.022093427
375,-0.02263944,-0.022092699
376,-0.022638638,-0.022091821
377,-0.022637977,-0.022091093
378,-0.022637268,-0.022090536
379,-0.022636607,-0.022089808
380,-0.02263596,-0.022088914
381,-0.022635299,-0.022088186
382,-0.02263459,-0.022087629
383,-0.022633928,-0.022086901
384,-0.022633797,-0.022087038
385,-0.022633136,-0.02208631
386,-0.022632427,-0.022085753
387,-0.022631766,-0.022085025
388,-0.022631119,-0.022084131
389,-0.022630458,-0.022083403
390,-0.022629749,-0.022082846
391,-0.022629087,-0.022082118
392,-0.022628285,-0.02208124
393,-0.022627624,-0.022080512
394,-0.022626915,-0.022079955
395,-0.022626254,-0.022079228
396,-0.022625607,-0.022078333
397,-0.022624946,-0.022077605
398,-0.022624237,-0.022077048
399,-0.022623576,-0.022076321
400,-0.022623963,-0.022076786
401,-0.022623301,-0.022076058
402,-0.022622593,-0.022075501
403,-0.022621931,-0.022074774
404,-0.022621285,-0.022073879
405,-0.022620623,-0.022073152
406,-0.022619914,-0.022072594
407,-0.022619253,-0.022071867
408,-0.022618451,-0.022070988
409,-0.02261779,-0.022070261
410,-0.022617081,-0.022069704
411,-0.022616419,-0.022068976
412,-0.022615773,-0.022068081
413,-0.022615111,-0.022067354
414,-0.022614403,-0.022066797
415,-0.022613741,-0.022066069
416,-0.022611983,-0.022068963
417,-0.022611321,-0.022068235
418,-0.022610612,-0.022067678
419,-0.022609951,-0.02206695
420,-0.022609305,-0.022066056
421,-0.022608643,-0.022065328
422,-0.022607934,-0.022064771
423,-0.022607273,-0.022064043
424,-0.022606471,-0.022063165
425,-0.02260581,-0.022062437
426,-0.022605101,-0.02206188
427,-0.022604439,-0.022061153
428,-0.022603793,-0.022060258
429,-0.022603131,-0.02205953
430,-0.022602422,-0.022058973
431,-0.022601761,-0.022058246
432,-0.022602148,-0.022058711
433,-0.022601487,-0.022057983
434,-0.022600778,-0.022057426
435,-0.022600117,-0.022056699
436,-0.02259947,-0.022055804
437,-0.022598809,-0.022055076
438,-0.0225981,-0.022054519
439,-0.022597439,-0.022053792
440,-0.022596636,-0.022052913
441,-0.022595975,-0.022052186
442,-0.022595266,-0.022051629
443,-0.022594605,-0.022050901
444,-0.022593958,-0.022050006
445,-0.022593297,-0.022049279
446,-0.022592588,-0.022048722
